Date,Hour,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Datetime
18/12/2006,0,16.582,5.944000000000001,14676.449999999999,73.39999999999996,0.0,2.0,0.0,2006-12-18 00:00:00
18/12/2006,1,18.797999999999995,9.114000000000004,14611.160000000003,84.99999999999999,0.0,35.0,0.0,2006-12-18 01:00:00
18/12/2006,2,17.06799999999999,6.544,14813.46,75.40000000000002,0.0,0.0,0.0,2006-12-18 02:00:00
18/12/2006,3,18.596000000000007,8.866000000000001,14743.909999999998,83.99999999999993,0.0,34.0,0.0,2006-12-18 03:00:00
18/12/2006,4,61.58,4.800000000000001,14730.42,250.5999999999999,0.0,4.0,753.0,2006-12-18 04:00:00
18/12/2006,5,17.61,7.315999999999999,14715.190000000004,77.59999999999998,0.0,28.0,0.0,2006-12-18 05:00:00
18/12/2006,6,36.6,6.774,14742.260000000002,155.99999999999994,0.0,5.0,0.0,2006-12-18 06:00:00
18/12/2006,7,147.02599999999998,9.18,14457.740000000007,613.2,5.0,27.0,678.0,2006-12-18 07:00:00
18/12/2006,8,124.928,4.4239999999999995,14272.820000000003,523.5999999999997,748.0,2.0,1041.0,2006-12-18 08:00:00
18/12/2006,9,97.76000000000003,5.1099999999999985,14244.28,408.9999999999997,310.0,29.0,1036.0,2006-12-18 09:00:00
18/12/2006,10,78.57800000000002,3.1700000000000004,14344.830000000002,325.5999999999999,0.0,0.0,1050.0,2006-12-18 10:00:00
18/12/2006,11,93.716,7.6400000000000015,14386.259999999998,388.1999999999998,0.0,31.0,1056.0,2006-12-18 11:00:00
18/12/2006,12,105.364,5.237999999999999,14554.799999999997,434.8000000000003,0.0,0.0,1081.0,2006-12-18 12:00:00
18/12/2006,13,100.92399999999998,7.589999999999998,14517.249999999995,416.3999999999998,0.0,32.0,1042.0,2006-12-18 13:00:00
18/12/2006,14,103.98199999999997,2.958,14531.790000000003,425.8,0.0,0.0,1043.0,2006-12-18 14:00:00
18/12/2006,15,107.05800000000002,6.244000000000002,14545.410000000003,438.59999999999974,0.0,31.0,1079.0,2006-12-18 15:00:00
18/12/2006,16,116.95800000000001,12.266000000000002,14542.839999999997,485.8,0.0,0.0,1079.0,2006-12-18 16:00:00
18/12/2006,17,129.29399999999995,5.868000000000001,14323.749999999996,539.5999999999999,0.0,20.0,1047.0,2006-12-18 17:00:00
18/12/2006,18,144.152,4.745999999999998,14200.109999999999,604.9999999999995,0.0,15.0,1015.0,2006-12-18 18:00:00
18/12/2006,19,156.87,12.046000000000003,14119.749999999998,671.4000000000001,0.0,546.0,0.0,2006-12-18 19:00:00
18/12/2006,20,183.03400000000002,7.2219999999999995,14071.460000000006,782.8000000000002,0.0,30.0,795.0,2006-12-18 20:00:00
18/12/2006,21,130.184,4.3039999999999985,14255.45,554.4000000000005,0.0,0.0,223.0,2006-12-18 21:00:00
18/12/2006,22,104.32800000000005,6.478,14412.689999999997,434.99999999999994,0.0,531.0,0.0,2006-12-18 22:00:00
18/12/2006,23,92.836,7.950000000000002,14559.560000000003,396.0,0.0,1219.0,0.0,2006-12-18 23:00:00
19/12/2006,0,50.227999999999994,5.57,14524.269999999993,212.59999999999997,0.0,58.0,489.0,2006-12-19 00:00:00
19/12/2006,1,21.181999999999995,4.5520000000000005,14508.500000000002,94.19999999999997,0.0,15.0,44.0,2006-12-19 01:00:00
19/12/2006,2,19.63399999999999,6.343999999999999,14746.770000000002,87.80000000000007,0.0,38.0,0.0,2006-12-19 02:00:00
19/12/2006,3,18.498,4.379999999999999,14667.79,81.8,0.0,10.0,0.0,2006-12-19 03:00:00
19/12/2006,4,19.67,6.148000000000001,14651.19,90.00000000000006,0.0,43.0,0.0,2006-12-19 04:00:00
19/12/2006,5,18.400000000000006,4.252000000000001,14584.550000000003,82.80000000000003,0.0,10.0,0.0,2006-12-19 05:00:00
19/12/2006,6,47.78000000000001,6.408,14521.780000000002,208.00000000000003,0.0,41.0,0.0,2006-12-19 06:00:00
19/12/2006,7,107.13800000000002,5.066,14365.570000000002,452.6,0.0,0.0,444.0,2006-12-19 07:00:00
19/12/2006,8,232.74200000000005,7.346000000000001,14168.779999999999,992.4000000000002,561.0,1571.0,1026.0,2006-12-19 08:00:00
19/12/2006,9,97.06599999999999,5.248000000000001,14374.339999999998,417.79999999999967,278.0,862.0,196.0,2006-12-19 09:00:00
19/12/2006,10,26.227999999999987,7.546000000000003,14538.339999999997,116.59999999999998,0.0,85.0,0.0,2006-12-19 10:00:00
19/12/2006,11,139.298,5.072,14419.499999999995,591.8000000000002,0.0,2061.0,0.0,2006-12-19 11:00:00
19/12/2006,12,25.839999999999996,7.961999999999999,14577.519999999999,115.40000000000008,0.0,175.0,0.0,2006-12-19 12:00:00
19/12/2006,13,18.028000000000002,4.906,14616.150000000005,77.60000000000001,0.0,37.0,0.0,2006-12-19 13:00:00
19/12/2006,14,18.128,7.132000000000002,14816.749999999998,79.99999999999996,0.0,45.0,0.0,2006-12-19 14:00:00
19/12/2006,15,25.282000000000004,4.852,14504.439999999999,108.39999999999995,0.0,10.0,133.0,2006-12-19 15:00:00
19/12/2006,16,82.32799999999999,5.5,14562.859999999995,336.7999999999997,0.0,43.0,1082.0,2006-12-19 16:00:00
19/12/2006,17,126.68999999999994,8.666,14316.400000000007,530.5999999999999,0.0,10.0,1046.0,2006-12-19 17:00:00
19/12/2006,18,132.282,6.197999999999998,14258.429999999995,555.4000000000001,0.0,44.0,1038.0,2006-12-19 18:00:00
19/12/2006,19,110.526,4.3759999999999994,14464.8,456.19999999999993,0.0,3.0,699.0,2006-12-19 19:00:00
19/12/2006,20,176.43199999999996,14.241999999999999,14479.689999999997,748.8000000000001,0.0,1614.0,0.0,2006-12-19 20:00:00
19/12/2006,21,86.57199999999999,6.3900000000000015,14452.2,380.59999999999985,0.0,747.0,0.0,2006-12-19 21:00:00
19/12/2006,22,43.19999999999999,8.760000000000002,14560.760000000004,180.79999999999995,0.0,70.0,0.0,2006-12-19 22:00:00
19/12/2006,23,23.022000000000006,4.026,14797.630000000008,95.0,0.0,10.0,0.0,2006-12-19 23:00:00
